Man United,2,Chelsea,1
Aston Villa,3,Man City,1
Westham United,2,York,1
Man United,3,Man City,1
Aston Villa,1,York,0
Chelsea,3,Westham United,2
Man United,1,Aston Villa,1
Man United,1,Westham United,0
Man United,3,York,0
Man United,8,Man City,1
Aston Villa,2,Man United,2
Aston Villa,3,Westham United,2
Aston Villa,1,Chelsea,3
Westham United,0,Man United,0
Westham United,2,Aston Villa,1
Westham United,2,Chelsea,3
Westham United,1,Man City,3
Chelsea,4,Man United,2
Chelsea,3,Aston Villa,0
Chelsea,1,York,1
Chelsea,3,Man City,3
York,0,Man United,2
York ,0,Aston Villa,0
York,0,Westham United,2
York,1,Chelsea,0
York,0,Man City,3
Man City,0,Man United,0
Man City,4,Aston Villa,0
Man City,2,Westham United,1
Man City,2,Chelsea,2
Man City,3,York,0